StockCode,Description,Category,UnitCost,UnitPrice,LeadTimeDays,ShelfLifeDays,Supplier,MinOrderQty
SKU10000,WHITE HANGING HEART T-LIGHT HOLDER,Home Decor,6.59,10.3,7,365,SUP107,10
SKU10001,WHITE METAL LANTERN,Home Decor,8.37,15.53,7,365,SUP110,100
SKU10002,CREAM CUPID HEARTS COAT HANGER,Home Decor,4.47,9.34,7,365,SUP121,10
SKU10003,GLASS STAR FROSTED T-LIGHT HOLDER,Home Decor,14.97,24.29,6,365,SUP127,10
SKU10004,WALL MIRROR ROUND,Home Decor,9.16,16.01,9,365,SUP111,10
SKU10005,WOODEN PHOTO FRAME,Home Decor,4.77,8.34,6,365,SUP127,100
SKU10006,CERAMIC VASE BLUE,Home Decor,5.47,10.11,7,365,SUP111,50
SKU10007,DREAM CATCHER FEATHER,Home Decor,13.37,24.61,9,365,SUP118,50
SKU10008,FAIRY LIGHTS LED,Home Decor,2.55,5.51,8,365,SUP124,100
SKU10009,CUSHION COVER VINTAGE,Home Decor,7.77,14.74,6,365,SUP120,20
SKU10010,TABLE RUNNER LINEN,Home Decor,9.46,17.58,8,365,SUP128,100
SKU10011,WALL CLOCK ROMAN,Home Decor,1.46,2.31,8,365,SUP117,100
SKU10012,DECORATIVE PILLOW,Home Decor,10.3,19.25,6,365,SUP103,20
SKU10013,SCENTED CANDLE LAVENDER,Home Decor,1.39,2.24,8,365,SUP101,20
SKU10014,FLOWER POT TERRACOTTA,Home Decor,12.83,22.53,8,365,SUP124,20
SKU10015,PHOTO FRAME SILVER,Home Decor,4.83,9.15,6,365,SUP114,10
SKU10016,HANGING ORNAMENT GLASS,Home Decor,9.83,15.29,8,365,SUP127,10
SKU10017,WALL ART CANVAS,Home Decor,2.94,4.81,5,365,SUP124,50
SKU10018,LAMP SHADE FABRIC,Home Decor,6.06,11.45,7,365,SUP118,10
SKU10019,DOOR MAT WELCOME,Home Decor,11.08,18.22,7,365,SUP104,20
SKU10020,CURTAIN TIE BACK,Home Decor,4.69,9.92,5,365,SUP107,100
SKU10021,WIND CHIME BAMBOO,Home Decor,4.29,9.28,9,365,SUP102,100
SKU10022,FIGURINE SET CERAMIC,Home Decor,10.34,16.48,5,365,SUP102,10
SKU10023,BOOKEND PAIR METAL,Home Decor,15.09,24.34,9,365,SUP125,50
SKU10024,INCENSE HOLDER WOOD,Home Decor,10.77,19.62,5,365,SUP114,50
SKU10025,SET OF 3 CAKE TINS PANTRY DESIGN,Kitchenware,3.64,6.77,10,720,SUP106,10
SKU10026,RETROSPOT TEA SET CERAMIC 11 PC,Kitchenware,8.56,15.52,12,720,SUP122,50
SKU10027,JAM MAKING SET WITH JARS,Kitchenware,11.81,19.65,11,720,SUP112,100
SKU10028,IVORY KNITTED MUG COSY,Kitchenware,16.34,27.75,11,720,SUP101,20
SKU10029,SET 7 BABUSHKA NESTING BOXES,Kitchenware,21.19,36.75,11,720,SUP127,100
SKU10030,CUTLERY SET STAINLESS,Kitchenware,6.3,10.02,10,720,SUP125,50
SKU10031,SPICE RACK WOODEN,Kitchenware,20.82,40.53,8,720,SUP100,10
SKU10032,WOODEN SPOON SET,Kitchenware,13.44,29.85,12,720,SUP108,50
SKU10033,CUTTING BOARD BAMBOO,Kitchenware,1.27,2.3,8,720,SUP129,10
SKU10034,COFFEE GRINDER MANUAL,Kitchenware,16.01,31.77,10,720,SUP121,100
SKU10035,ELECTRIC KETTLE,Kitchenware,14.36,24.31,8,720,SUP129,10
SKU10036,TOASTER 2-SLICE,Kitchenware,6.45,12.92,9,720,SUP102,10
SKU10037,BLENDER COMPACT,Kitchenware,5.44,8.37,10,720,SUP116,20
SKU10038,MIXING BOWL CERAMIC,Kitchenware,10.87,23.62,12,720,SUP100,10
SKU10039,MEASURING CUPS SET,Kitchenware,5.89,12.3,11,720,SUP125,100
SKU10040,COOKIE JAR GLASS,Kitchenware,14.65,25.77,10,720,SUP123,50
SKU10041,BREAD BIN METAL,Kitchenware,7.58,12.41,12,720,SUP119,20
SKU10042,FRUIT BASKET WIRE,Kitchenware,16.29,29.24,8,720,SUP108,100
SKU10043,WINE GLASSES SET 6,Kitchenware,14.05,23.85,10,720,SUP119,100
SKU10044,TEAPOT CERAMIC,Kitchenware,14.12,31.14,10,720,SUP118,100
SKU10045,CASSEROLE DISH OVAL,Kitchenware,14.42,29.74,8,720,SUP107,100
SKU10046,BAKING TRAY NON-STICK,Kitchenware,14.98,24.26,10,720,SUP127,10
SKU10047,PACK OF 72 RETROSPOT CAKE CASES,Stationery,1.37,2.15,4,365,SUP102,50
SKU10048,NOTEBOOK A5 RULED,Stationery,6.18,10.07,3,365,SUP119,100
SKU10049,FOUNTAIN PEN BLUE,Stationery,2.78,4.28,6,365,SUP104,10
SKU10050,MARKER SET 12 COLORS,Stationery,6.49,13.3,3,365,SUP102,50
SKU10051,STICKY NOTES PACK,Stationery,6.94,11.03,3,365,SUP123,100
SKU10052,PENCIL CASE CANVAS,Stationery,0.83,1.72,6,365,SUP129,50
SKU10053,DESK ORGANIZER MESH,Stationery,3.76,5.9,3,365,SUP128,20
SKU10054,STAPLER STANDARD,Stationery,1.58,2.83,5,365,SUP115,10
SKU10055,PAPER CLIPS BOX,Stationery,2.22,3.75,3,365,SUP113,10
SKU10056,FOLDER PACK A4,Stationery,1.62,3.09,5,365,SUP116,100
SKU10057,CALENDAR DESK 2025,Stationery,4.1,8.74,5,365,SUP121,50
SKU10058,DIARY HARDCOVER,Stationery,2.35,4.13,7,365,SUP118,20
SKU10059,HIGHLIGHTERS PACK,Stationery,7.32,13.64,7,365,SUP129,10
SKU10060,ERASER PACK 10,Stationery,4.87,8.87,7,365,SUP127,10
SKU10061,RULER SET METRIC,Stationery,4.37,7.74,3,365,SUP116,100
SKU10062,SCISSORS OFFICE,Stationery,9.06,14.14,7,365,SUP105,50
SKU10063,TAPE DISPENSER,Stationery,7.26,11.34,7,365,SUP116,20
SKU10064,BINDER CLIPS BOX,Stationery,9.33,14.52,3,365,SUP119,50
SKU10065,INDEX CARDS PACK,Stationery,2.41,4.93,3,365,SUP102,100
SKU10066,WHITEBOARD A3,Stationery,3.12,5.9,4,365,SUP102,100
SKU10067,LOVE BUILDING BLOCK WORD,Toys,3.1,6.31,13,365,SUP126,20
SKU10068,BABUSHKA BOXES NESTING,Toys,26.46,44.24,12,365,SUP108,50
